Level1,Level2,Level3,Level4,Level5,DisplayOrder
Polonia,dolnośląskie,wrocławski,gm. Żórawina,,145
Polonia,dolnośląskie,ząbkowicki,gm. Bardo,,146
Polonia,dolnośląskie,ząbkowicki,gm. Ciepłowody,,147
Polonia,dolnośląskie,ząbkowicki,gm. Kamieniec Ząbkowicki,,148
Polonia,dolnośląskie,ząbkowicki,gm. Stoszowice,,149
Polonia,dolnośląskie,ząbkowicki,gm. Ząbkowice Śląskie,,150
Polonia,dolnośląskie,ząbkowicki,gm. Ziębice,,151
Polonia,dolnośląskie,ząbkowicki,gm. Złoty Stok,,152
Polonia,dolnośląskie,zgorzelecki,m. Zawidów,,153
Polonia,dolnośląskie,zgorzelecki,m. Zgorzelec,,154
Polonia,dolnośląskie,zgorzelecki,gm. Bogatynia,,155
Polonia,dolnośląskie,zgorzelecki,gm. Pieńsk,,156
Polonia,dolnośląskie,zgorzelecki,gm. Sulików,,157
Polonia,dolnośląskie,zgorzelecki,gm. Węgliniec,,158
Polonia,dolnośląskie,zgorzelecki,gm. Zgorzelec,,159
Polonia,dolnośląskie,złotoryjski,m. Wojcieszów,,160
Polonia,dolnośląskie,złotoryjski,m. Złotoryja,,161
Polonia,dolnośląskie,złotoryjski,gm. Pielgrzymka,,162
Polonia,dolnośląskie,złotoryjski,gm. Świerzawa,,163
Polonia,dolnośląskie,złotoryjski,gm. Zagrodno,,164
Polonia,dolnośląskie,złotoryjski,gm. Złotoryja,,165
Polonia,dolnośląskie,Jelenia Góra,m. Jelenia Góra,,166
Polonia,dolnośląskie,Legnica,m. Legnica,,167
Polonia,dolnośląskie,Wrocław,m. Wrocław,,168
Polonia,dolnośląskie,Wałbrzych,m. Wałbrzych,,169
Polonia,kujawsko-pomorskie,aleksandrowski,m. Aleksandrów Kujawski,,170
Polonia,kujawsko-pomorskie,aleksandrowski,m. Ciechocinek,,171
Polonia,kujawsko-pomorskie,aleksandrowski,m. Nieszawa,,172
Polonia,kujawsko-pomorskie,aleksandrowski,gm. Aleksandrów Kujawski,,173
Polonia,kujawsko-pomorskie,aleksandrowski,gm. Bądkowo,,174
Polonia,kujawsko-pomorskie,aleksandrowski,gm. Koneck,,175
Polonia,kujawsko-pomorskie,aleksandrowski,gm. Raciążek,,176
Polonia,kujawsko-pomorskie,aleksandrowski,gm. Waganiec,,177
Polonia,kujawsko-pomorskie,aleksandrowski,gm. Zakrzewo,,178
Polonia,kujawsko-pomorskie,brodnicki,m. Brodnica,,179
Polonia,kujawsko-pomorskie,brodnicki,gm. Bobrowo,,180
Polonia,kujawsko-pomorskie,brodnicki,gm. Brodnica,,181
Polonia,kujawsko-pomorskie,brodnicki,gm. Brzozie,,182
Polonia,kujawsko-pomorskie,brodnicki,gm. Górzno,,183
Polonia,kujawsko-pomorskie,brodnicki,gm. Bartniczka,,184
Polonia,kujawsko-pomorskie,brodnicki,gm. Jabłonowo Pomorskie,,185
Polonia,kujawsko-pomorskie,brodnicki,gm. Osiek,,186
Polonia,kujawsko-pomorskie,brodnicki,gm. Świedziebnia,,187
Polonia,kujawsko-pomorskie,brodnicki,gm. Zbiczno,,188
Polonia,kujawsko-pomorskie,bydgoski,gm. Białe Błota,,189
Polonia,kujawsko-pomorskie,bydgoski,gm. Dąbrowa Chełmińska,,190
Polonia,kujawsko-pomorskie,bydgoski,gm. Dobrcz,,191
Polonia,kujawsko-pomorskie,bydgoski,gm. Koronowo,,192
Polonia,kujawsko-pomorskie,bydgoski,gm. Nowa Wieś Wielka,,193
Polonia,kujawsko-pomorskie,bydgoski,gm. Osielsko,,194
Polonia,kujawsko-pomorskie,bydgoski,gm. Sicienko,,195
Polonia,kujawsko-pomorskie,bydgoski,gm. Solec Kujawski,,196
Polonia,kujawsko-pomorskie,chełmiński,m. Chełmno,,197
Polonia,kujawsko-pomorskie,chełmiński,gm. Chełmno,,198
Polonia,kujawsko-pomorskie,chełmiński,gm. Kijewo Królewskie,,199
Polonia,kujawsko-pomorskie,chełmiński,gm. Lisewo,,200
Polonia,kujawsko-pomorskie,chełmiński,gm. Papowo Biskupie,,201
Polonia,kujawsko-pomorskie,chełmiński,gm. Stolno,,202
Polonia,kujawsko-pomorskie,chełmiński,gm. Unisław,,203
Polonia,kujawsko-pomorskie,golubsko-dobrzyński,m. Golub-Dobrzyń,,204
Polonia,kujawsko-pomorskie,golubsko-dobrzyński,gm. Ciechocin,,205
Polonia,kujawsko-pomorskie,golubsko-dobrzyński,gm. Golub-Dobrzyń,,206
Polonia,kujawsko-pomorskie,golubsko-dobrzyński,gm. Kowalewo Pomorskie,,207
Polonia,kujawsko-pomorskie,golubsko-dobrzyński,gm. Radomin,,208
Polonia,kujawsko-pomorskie,golubsko-dobrzyński,gm. Zbójno,,209
Polonia,kujawsko-pomorskie,grudziądzki,gm. Grudziądz,,210
Polonia,kujawsko-pomorskie,grudziądzki,gm. Gruta,,211
Polonia,kujawsko-pomorskie,grudziądzki,gm. Łasin,,212
Polonia,kujawsko-pomorskie,grudziądzki,gm. Radzyń Chełmiński,,213
Polonia,kujawsko-pomorskie,grudziądzki,gm. Rogóźno,,214
Polonia,kujawsko-pomorskie,grudziądzki,gm. Świecie nad Osą,,215
Polonia,kujawsko-pomorskie,inowrocławski,m. Inowrocław,,216
Polonia,kujawsko-pomorskie,inowrocławski,gm. Dąbrowa Biskupia,,217
Polonia,kujawsko-pomorskie,inowrocławski,gm. Gniewkowo,,218
Polonia,kujawsko-pomorskie,inowrocławski,gm. Inowrocław,,219
Polonia,kujawsko-pomorskie,inowrocławski,gm. Janikowo,,220
Polonia,kujawsko-pomorskie,inowrocławski,gm. Kruszwica,,221
Polonia,kujawsko-pomorskie,inowrocławski,gm. Pakość,,222
Polonia,kujawsko-pomorskie,inowrocławski,gm. Rojewo,,223
Polonia,kujawsko-pomorskie,inowrocławski,gm. Złotniki Kujawskie,,224
Polonia,kujawsko-pomorskie,lipnowski,m. Lipno,,225
Polonia,kujawsko-pomorskie,lipnowski,gm. Bobrowniki,,226
Polonia,kujawsko-pomorskie,lipnowski,gm. Chrostkowo,,227
Polonia,kujawsko-pomorskie,lipnowski,gm. Dobrzyń nad Wisłą,,228
Polonia,kujawsko-pomorskie,lipnowski,gm. Kikół,,229
Polonia,kujawsko-pomorskie,lipnowski,gm. Lipno,,230
Polonia,kujawsko-pomorskie,lipnowski,gm. Skępe,,231
Polonia,kujawsko-pomorskie,lipnowski,gm. Tłuchowo,,232
Polonia,kujawsko-pomorskie,lipnowski,gm. Wielgie,,233
Polonia,kujawsko-pomorskie,mogileński,gm. Dąbrowa,,234
Polonia,kujawsko-pomorskie,mogileński,gm. Jeziora Wielkie,,235
Polonia,kujawsko-pomorskie,mogileński,gm. Mogilno,,236
Polonia,kujawsko-pomorskie,mogileński,gm. Strzelno,,237
Polonia,kujawsko-pomorskie,nakielski,gm. Kcynia,,238
Polonia,kujawsko-pomorskie,nakielski,gm. Mrocza,,239
Polonia,kujawsko-pomorskie,nakielski,gm. Nakło nad Notecią,,240
Polonia,kujawsko-pomorskie,nakielski,gm. Sadki,,241
Polonia,kujawsko-pomorskie,nakielski,gm. Szubin,,242
Polonia,kujawsko-pomorskie,radziejowski,m. Radziejów,,243
Polonia,kujawsko-pomorskie,radziejowski,gm. Bytoń,,244
Polonia,kujawsko-pomorskie,radziejowski,gm. Dobre,,245
Polonia,kujawsko-pomorskie,radziejowski,gm. Osięciny,,246
Polonia,kujawsko-pomorskie,radziejowski,gm. Piotrków Kujawski,,247
Polonia,kujawsko-pomorskie,radziejowski,gm. Radziejów,,248
Polonia,kujawsko-pomorskie,radziejowski,gm. Topólka,,249
Polonia,kujawsko-pomorskie,rypiński,m. Rypin,,250
Polonia,kujawsko-pomorskie,rypiński,gm. Brzuze,,251
Polonia,kujawsko-pomorskie,rypiński,gm. Rogowo,,252
Polonia,kujawsko-pomorskie,rypiński,gm. Rypin,,253
Polonia,kujawsko-pomorskie,rypiński,gm. Skrwilno,,254
Polonia,kujawsko-pomorskie,rypiński,gm. Wąpielsk,,255
Polonia,kujawsko-pomorskie,sępoleński,gm. Kamień Krajeński,,256
Polonia,kujawsko-pomorskie,sępoleński,gm. Sępólno Krajeńskie,,257
Polonia,kujawsko-pomorskie,sępoleński,gm. Sośno,,258
Polonia,kujawsko-pomorskie,sępoleński,gm. Więcbork,,259
Polonia,kujawsko-pomorskie,świecki,gm. Bukowiec,,260
Polonia,kujawsko-pomorskie,świecki,gm. Dragacz,,261
Polonia,kujawsko-pomorskie,świecki,gm. Drzycim,,262
Polonia,kujawsko-pomorskie,świecki,gm. Jeżewo,,263
Polonia,kujawsko-pomorskie,świecki,gm. Lniano,,264
Polonia,kujawsko-pomorskie,świecki,gm. Nowe,,265
Polonia,kujawsko-pomorskie,świecki,gm. Osie,,266
Polonia,kujawsko-pomorskie,świecki,gm. Pruszcz,,267
Polonia,kujawsko-pomorskie,świecki,gm. Świecie,,268
Polonia,kujawsko-pomorskie,świecki,gm. Świekatowo,,269
Polonia,kujawsko-pomorskie,świecki,gm. Warlubie,,270
Polonia,kujawsko-pomorskie,toruński,m. Chełmża,,271
Polonia,kujawsko-pomorskie,toruński,gm. Chełmża,,272
Polonia,kujawsko-pomorskie,toruński,gm. Czernikowo,,273
Polonia,kujawsko-pomorskie,toruński,gm. Lubicz,,274
Polonia,kujawsko-pomorskie,toruński,gm. Łubianka,,275
Polonia,kujawsko-pomorskie,toruński,gm. Łysomice,,276
Polonia,kujawsko-pomorskie,toruński,gm. Obrowo,,277
Polonia,kujawsko-pomorskie,toruński,gm. Wielka Nieszawka,,278
Polonia,kujawsko-pomorskie,toruński,gm. Zławieś Wielka,,279
Polonia,kujawsko-pomorskie,tucholski,gm. Cekcyn,,280
Polonia,kujawsko-pomorskie,tucholski,gm. Gostycyn,,281
Polonia,kujawsko-pomorskie,tucholski,gm. Kęsowo,,282
Polonia,kujawsko-pomorskie,tucholski,gm. Lubiewo,,283
Polonia,kujawsko-pomorskie,tucholski,gm. Śliwice,,284
Polonia,kujawsko-pomorskie,tucholski,gm. Tuchola,,285
Polonia,kujawsko-pomorskie,wąbrzeski,m. Wąbrzeźno,,286
Polonia,kujawsko-pomorskie,wąbrzeski,gm. Dębowa Łąka,,287
Polonia,kujawsko-pomorskie,wąbrzeski,gm. Książki,,288
Polonia,kujawsko-pomorskie,wąbrzeski,gm. Płużnica,,289
Polonia,kujawsko-pomorskie,wąbrzeski,gm. Ryńsk,,290
Polonia,kujawsko-pomorskie,włocławski,m. Kowal,,291
Polonia,kujawsko-pomorskie,włocławski,gm. Baruchowo,,292
Polonia,kujawsko-pomorskie,włocławski,gm. Boniewo,,293
Polonia,kujawsko-pomorskie,włocławski,gm. Brześć Kujawski,,294
Polonia,kujawsko-pomorskie,włocławski,gm. Choceń,,295
Polonia,kujawsko-pomorskie,włocławski,gm. Chodecz,,296
Polonia,kujawsko-pomorskie,włocławski,gm. Fabianki,,297
Polonia,kujawsko-pomorskie,włocławski,gm. Izbica Kujawska,,298
Polonia,kujawsko-pomorskie,włocławski,gm. Kowal,,299
Polonia,kujawsko-pomorskie,włocławski,gm. Lubanie,,300
Polonia,kujawsko-pomorskie,włocławski,gm. Lubień Kujawski,,301
Polonia,kujawsko-pomorskie,włocławski,gm. Lubraniec,,302
Polonia,kujawsko-pomorskie,włocławski,gm. Włocławek,,303
Polonia,kujawsko-pomorskie,żniński,gm. Barcin,,304
Polonia,kujawsko-pomorskie,żniński,gm. Gąsawa,,305
Polonia,kujawsko-pomorskie,żniński,gm. Janowiec Wielkopolski,,306
Polonia,kujawsko-pomorskie,żniński,gm. Łabiszyn,,307
Polonia,kujawsko-pomorskie,żniński,gm. Rogowo,,308
Polonia,kujawsko-pomorskie,żniński,gm. Żnin,,309
Polonia,kujawsko-pomorskie,Bydgoszcz,m. Bydgoszcz,,310
Polonia,kujawsko-pomorskie,Grudziądz,m. Grudziądz,,311
Polonia,kujawsko-pomorskie,Toruń,m. Toruń,,312
Polonia,kujawsko-pomorskie,Włocławek,m. Włocławek,,313
Polonia,lubelskie,bialski,m. Międzyrzec Podlaski,,314
Polonia,lubelskie,bialski,m. Terespol,,315
Polonia,lubelskie,bialski,gm. Biała Podlaska,,316
Polonia,lubelskie,bialski,gm. Drelów,,317
Polonia,lubelskie,bialski,gm. Janów Podlaski,,318
Polonia,lubelskie,bialski,gm. Kodeń,,319
Polonia,lubelskie,bialski,gm. Konstantynów,,320
Polonia,lubelskie,bialski,gm. Leśna Podlaska,,321
Polonia,lubelskie,bialski,gm. Łomazy,,322
Polonia,lubelskie,bialski,gm. Międzyrzec Podlaski,,323
Polonia,lubelskie,bialski,gm. Piszczac,,324
Polonia,lubelskie,bialski,gm. Rokitno,,325
Polonia,lubelskie,bialski,gm. Rossosz,,326
Polonia,lubelskie,bialski,gm. Sławatycze,,327
Polonia,lubelskie,bialski,gm. Sosnówka,,328
Polonia,lubelskie,bialski,gm. Terespol,,329
Polonia,lubelskie,bialski,gm. Tuczna,,330
Polonia,lubelskie,bialski,gm. Wisznice,,331
Polonia,lubelskie,bialski,gm. Zalesie,,332
Polonia,lubelskie,biłgorajski,m. Biłgoraj,,333
Polonia,lubelskie,biłgorajski,gm. Aleksandrów,,334
Polonia,lubelskie,biłgorajski,gm. Biłgoraj,,335
Polonia,lubelskie,biłgorajski,gm. Biszcza,,336
Polonia,lubelskie,biłgorajski,gm. Frampol,,337
Polonia,lubelskie,biłgorajski,gm. Goraj,,338
Polonia,lubelskie,biłgorajski,gm. Józefów,,339
Polonia,lubelskie,biłgorajski,gm. Księżpol,,340
Polonia,lubelskie,biłgorajski,gm. Łukowa,,341
Polonia,lubelskie,biłgorajski,gm. Obsza,,342
Polonia,lubelskie,biłgorajski,gm. Potok Górny,,343
Polonia,lubelskie,biłgorajski,gm. Tarnogród,,344
Polonia,lubelskie,biłgorajski,gm. Tereszpol,,345
Polonia,lubelskie,biłgorajski,gm. Turobin,,346
Polonia,lubelskie,chełmski,m. Rejowiec Fabryczny,,347
Polonia,lubelskie,chełmski,gm. Białopole,,348
Polonia,lubelskie,chełmski,gm. Chełm,,349
Polonia,lubelskie,chełmski,gm. Dorohusk,,350
Polonia,lubelskie,chełmski,gm. Dubienka,,351
Polonia,lubelskie,chełmski,gm. Kamień,,352
Polonia,lubelskie,chełmski,gm. Leśniowice,,353
Polonia,lubelskie,chełmski,gm. Rejowiec Fabryczny,,354
Polonia,lubelskie,chełmski,gm. Ruda-Huta,,355
Polonia,lubelskie,chełmski,gm. Sawin,,356
Polonia,lubelskie,chełmski,gm. Siedliszcze,,357
Polonia,lubelskie,chełmski,gm. Wierzbica,,358
Polonia,lubelskie,chełmski,gm. Wojsławice,,359
Polonia,lubelskie,chełmski,gm. Żmudź,,360
Polonia,lubelskie,chełmski,gm. Rejowiec,,361
Polonia,lubelskie,hrubieszowski,m. Hrubieszów,,362
Polonia,lubelskie,hrubieszowski,gm. Dołhobyczów,,363
Polonia,lubelskie,hrubieszowski,gm. Horodło,,364
Polonia,lubelskie,hrubieszowski,gm. Hrubieszów,,365
Polonia,lubelskie,hrubieszowski,gm. Mircze,,366
Polonia,lubelskie,hrubieszowski,gm. Trzeszczany,,367
Polonia,lubelskie,hrubieszowski,gm. Uchanie,,368
Polonia,lubelskie,hrubieszowski,gm. Werbkowice,,369
Polonia,lubelskie,janowski,gm. Batorz,,370
Polonia,lubelskie,janowski,gm. Chrzanów,,371
Polonia,lubelskie,janowski,gm. Dzwola,,372
Polonia,lubelskie,janowski,gm. Godziszów,,373
Polonia,lubelskie,janowski,gm. Janów Lubelski,,374
Polonia,lubelskie,janowski,gm. Modliborzyce,,375
Polonia,lubelskie,janowski,gm. Potok Wielki,,376
Polonia,lubelskie,krasnostawski,m. Krasnystaw,,377
Polonia,lubelskie,krasnostawski,gm. Fajsławice,,378
Polonia,lubelskie,krasnostawski,gm. Gorzków,,379
Polonia,lubelskie,krasnostawski,gm. Izbica,,380
Polonia,lubelskie,krasnostawski,gm. Krasnystaw,,381
Polonia,lubelskie,krasnostawski,gm. Kraśniczyn,,382
Polonia,lubelskie,krasnostawski,gm. Łopiennik Górny,,383
Polonia,lubelskie,krasnostawski,gm. Rudnik,,384
Polonia,lubelskie,krasnostawski,gm. Siennica Różana,,385
Polonia,lubelskie,krasnostawski,gm. Żółkiewka,,386
Polonia,lubelskie,kraśnicki,m. Kraśnik,,387
Polonia,lubelskie,kraśnicki,gm. Annopol,,388
Polonia,lubelskie,kraśnicki,gm. Dzierzkowice,,389
Polonia,lubelskie,kraśnicki,gm. Gościeradów,,390
Polonia,lubelskie,kraśnicki,gm. Kraśnik,,391
Polonia,lubelskie,kraśnicki,gm. Szastarka,,392
Polonia,lubelskie,kraśnicki,gm. Trzydnik Duży,,393
Polonia,lubelskie,kraśnicki,gm. Urzędów,,394
Polonia,lubelskie,kraśnicki,gm. Wilkołaz,,395
Polonia,lubelskie,kraśnicki,gm. Zakrzówek,,396
Polonia,lubelskie,lubartowski,m. Lubartów,,397
Polonia,lubelskie,lubartowski,gm. Abramów,,398
Polonia,lubelskie,lubartowski,gm. Firlej,,399
Polonia,lubelskie,lubartowski,gm. Jeziorzany,,400
Polonia,lubelskie,lubartowski,gm. Kamionka,,401
Polonia,lubelskie,lubartowski,gm. Kock,,402
Polonia,lubelskie,lubartowski,gm. Lubartów,,403
Polonia,lubelskie,lubartowski,gm. Michów,,404
Polonia,lubelskie,lubartowski,gm. Niedźwiada,,405
Polonia,lubelskie,lubartowski,gm. Ostrów Lubelski,,406
Polonia,lubelskie,lubartowski,gm. Ostrówek,,407
Polonia,lubelskie,lubartowski,gm. Serniki,,408
Polonia,lubelskie,lubartowski,gm. Uścimów,,409
Polonia,lubelskie,lubelski,gm. Bełżyce,,410
Polonia,lubelskie,lubelski,gm. Borzechów,,411
Polonia,lubelskie,lubelski,gm. Bychawa,,412
Polonia,lubelskie,lubelski,gm. Garbów,,413
Polonia,lubelskie,lubelski,gm. Głusk,,414
Polonia,lubelskie,lubelski,gm. Jabłonna,,415
Polonia,lubelskie,lubelski,gm. Jastków,,416
Polonia,lubelskie,lubelski,gm. Konopnica,,417
Polonia,lubelskie,lubelski,gm. Krzczonów,,418
Polonia,lubelskie,lubelski,gm. Niedrzwica Duża,,419
Polonia,lubelskie,lubelski,gm. Niemce,,420
Polonia,lubelskie,lubelski,gm. Strzyżewice,,421
Polonia,lubelskie,lubelski,gm. Wojciechów,,422
Polonia,lubelskie,lubelski,gm. Wólka,,423
Polonia,lubelskie,lubelski,gm. Wysokie,,424
