Key,en,ka,hy,ru,az
login.form.submit.save,Log in,ავტორიზაცია,,,Avtorizasiya
login.form.submit.loading,Log in...,ავტორიზაცია...,,,Avtorizasiya...
login.form.errors.invalid_credentials,There was an error with your credentials. Please try again.,ელ. ფოსტა ან პაროლი არასწორია. გთხოვთ სცადოთ კიდევ,,,E-poçt və ya parol səhvdir. Xahiş edirik yenidən cəhd edin
login.form.errors.offline,You need an internet connection in order to log in.,ავტორიზაციისთვის აუცილებელია ინტერნეტთან კავშირი,,,Avtorizasiya üçün internet bağlantısı tələb olunur
login.actions.forgot_password,Forgot your password?,დაგავიწყდა პაროლი?,,,Parolu unutmusan?
login.email_toast,Email address was copied to clipboard,ელ. ფოსტის მისამართი დაკოპირებულია,,,E-poçt ünvanı kopyalandı
forgot_password.header.title,Forgot password,პაროლის დავიწყება,,,Parolun unudulması
forgot_password.heading,Forgot your password?,დაგავიწყდა პაროლი?,,,Parolu unutmusan?
forgot_password.paragraph,Please enter the email address associated with your account and we’ll send you a link to reset your password.,"გთხოვთ, მიუთითოთ თქვენს ანგარიშთან დაკავშირებული ელექტრონული ფოსტის მისამართი და ჩვენ გამოგიგზავნით ლინკს პაროლის აღსადგენად. ",,,"Xahiş edirik, hesabınızla əlaqəli E-poçt ünvanını göstərin və biz sizə parolunuzu bərpa etmək üçün link göndərəcəyik."
forgot_password.form.email.label,E-mail *,ელ. ფოსტა*,,,E-poçt*
forgot_password.form.email.placeholder,E-mail,ელ. ფოსტა,,,E-poçt
forgot_password.form.email.required,E-mail is mandatory,ელ. ფოსტის მითითება სავალდებულოა,,,E-poçtu qeyd etmək mütləqdir
forgot_password.form.email.pattern,E-mail format is not valid,არასწორი ელ. ფოსტის ფორმატი,,,Yanlış E-poçt formatı
forgot_password.form.submit.loading,Sending...,გაგზავნა...,,,Göndərmək...
forgot_password.form.submit.save,Send,გაგზავნა,,,Göndərmək
forgot_password.form.errors.invalid_email,The current email is not registered in the system. Please try again.,ელ. ფოსტა არ არის რეგისტრირებული სისტემაში. გთხოვთ სცადოთ თავიდან,,,E-poçt sistemdə qeydiyyat olunmayıb. Xahiş edirik yenidən cəhd edin
forgot_password.confirmation.heading,Email sent,ელ. ფოსტა გაგზავნილია,,,E-poçt göndərildi
forgot_password.confirmation.paragraph,Check your email and open the link we sent to continue. Check your spam filter if you did not receive the email.,"შეამოწმეთ თქვენი ელექტრონული ფოსტა და გახსენით ჩვენ მიერ გამოგზავნილი ლინკი. თუ არ მიგიღიათ შეტყობინება, გთხოვთ, შეამოწმოთ სპამის ფოლდერიც. ",,,"Elektron poçtunuzu yoxlayın və bizim göndərdiyimiz bildirişi açın. Əgər bildirişi almayıbsınızsa xahiş edirik, ""Spam"" papkasını da yoxlayın."
forgot_password.confirmation.confirm,Back to login,დაბრუნება ავტორიზაციაზე,,,Avtorizasiyaya qayıtmaq
about_app.title,About Vote Monitor,Vote Monitor-ის შესახებ,,,Vote Monitor haqqında
about_app.general,Vote Monitor is a dedicated digital tool for independent observers and international organizations engaged in election monitoring. Vote Monitor is developed and managed by Code for Romania/Commit Global.,Vote Monitor არის დამოუკიდებელი დამკვირვებლებისთვისა და საარჩევნო მონიტორინგის განმახორციელებელი ორგანიზაციებისთვის გამოყოფული ციფრული ინსტრუმენტი. Vote Monitor შექმნილია და იმართება Code for Romania/Commit Global-ის მიერ.,,,Vote Monitor müstəqil müşahidəçilər üçündür və seçki monitorinqini həyata keçirən təşkilat üçün ayrılmış rəqəmsal vasitədir. Vote Monitor Code for Romania/Commit Global tərəfindən yaradılıb və  idarə edilir.
about_app.purpose,"The app assists independent observers in monitoring polling stations and documenting the polling process in real-time for a specific election round. All data collected through the mobile app is sent in real-time to accrediting organizations to identify potential red flags that may indicate fraud or other irregularities. Ultimately, our goal is to provide a clear, simple, and realistic snapshot of the polling process proceedings.","აპლიკაცია ეხმარება დამოუკიდებელ დამკვირვებლებს საარჩევნო უბნების მონიტორინგში და კონკრეტული საარჩევნო ტურისთვის კენჭისყრის პროცესის რეალურ დროში დოკუმენტირებაში. მობილური აპლიკაციის საფუძველზე შეგროვებული ყველა მონაცემი რეალურ დროში ეგზავნება მაკრედიტირებელ ორგანიზაციებს, რათა მათ დააიდენტიფიცირონ შესაძლო საყურადღებო ფაქტები, რომელიც შეიძლება მიუთითებდეს გაყალბებასა ან სხვა დარღვევებზე. საბოლოო ჯამში, ჩვენი მიზანია ხმისმიცემის პროცესის მკაფიო, მარტივი და რეალისტური სურათის წარმოჩენა.",,,"Aplikasiya müstəqil müşahidəçilərə seçki məntəqələrini müşahidə etməyə və konkret seçki turu üçün real vaxt rejimində səsvermə prosesini sənədləşdirməyə kömək edir. Mobil aplikasiya əsasında toplanmış bütün məlumatlar real vaxt rejimində təşkilatlara göndərilir ki, onlar saxtakarlıq və ya digər pozuntuları göstərə biləcək mümkün qırmızı bayraqları müəyyən edə bilsinlər. Yekun nəticədə, məqsədimiz səsvermə prosesinin aydın, sadə və real mənzərəsini təqdim etməkdir."
about_app.app_provides.paragraph,The app provides observers with:,აპლიკაცია დამკვირვებელს აღჭურავს: ,,,Aplikasiya müşahidəçini təmin edir:
about_app.app_provides.item1,A way to manage multiple visited polling stations,სხვადასხვა მონახულებული საარჩევნო უბნის მართვის საშუალებით,,,Müxtəlif ziyarət edilmiş seçki məntəqələrini idarə etmək vasitəsilə
about_app.app_provides.item2,An efficient method to monitor the flow of the polling process through forms set up by accrediting organizations,დარეგისტრირებული სადამკვირვებლო ორგანიზაციების მიერ შექმნილი ფორმების მეშვეობით კენჭისყრის პროცესის მონიტორინგის ეფექტური მეთოდით ,,,Qeydiyyatdan keçmiş müşahidəçi təşkilatlar tərəfindən yaradılmış formalar vasitəsilə səsvermə prosesi monitorinqinin effektiv üsulu ilə
about_app.app_provides.item3,A means of quickly reporting other problematic issues outside the standard forms,გარდა სტანდარტული ფორმებისა ინციდენტების სწრაფი რეპორტინგის საშუალებებით ,,,Standart formalardan əlavə insidentlərin sürətli göndərilməsi vasitəsi ilə
about_app.usage,"The Vote Monitor App can be used during any type of election in any country worldwide. Since 2016, it has been used in multiple election rounds in Romania and Poland.",აპლიკაცია შეიძლება გამოყენებულ იქნას ნებისმიერი ტიპის არჩევნებისთვის მსოფლიოს ნებისმიერ ქვეყანაში. 2016 წლიდან ის გამოიყენება რუმინეთსა და პოლონეთში.,,,Aplikasiyadan dünyanın istənilən ölkəsində hər hansı tipli seçkilər üçün istifadə etmək mümkündür. 2016-cı ildən Rumınya və Polşada ondan istifadə olunur.
about_app.version,Vote Monitor version {{value}},Vote Monitor ვერსია {{value}},,,Vote Monitor versiyası {{value}}
loading_screen.heading,Loading...,იტვირთება...,,,Yüklənir...
loading_screen.paragraph,"We are preparing all the data, please wait!","ჩვენ ვამზადებთ მონაცემებს, გთხოვ დაელოდოთ!",,,"Biz məlumatları hazırlayırıq, xahiş edirik gözləyin!"
tabs.observation,Observation,დაკვირვება,,,Müşahidə
tabs.quick_report,Report,ანგარიში,,,Hesabat
tabs.guides,Guides,გზამკვლევები,,,Bələdçilər
tabs.inbox,Inbox,ინბოქსი,,,Gələnlər qutusu
tabs.more,More,მეტი,,,Daha artıq
add_polling_station.title,Add polling station,დაამატე საარჩევნო უბანი,,,Seçki məntəqəsi əlavə et
add_polling_station.progress.location,Add polling station from {{value}},დაამატე საარჩევნო უბანი {{value}}დან,,,Seçki məntəqəsini {{value}}-dən əlavə et
add_polling_station.actions.next_step,Next step,შემდეგი ნაბიჯი,,,Növbəti addım
add_polling_station.actions.back,Back,უკან,,,Geri
add_polling_station.actions.finalize,Finalize,დასრულება,,,Başa vurmaq
add_polling_station.error,Error while loading polling stations!,შეცდომა საარჩევნო უბნების ჩატვირთვისას,,,Seçki məntəqələrinin yüklənməsi zamanı xəta
observation.title,Polling Station Observation,საარჩევნო უბნებზე დაკვირვება,,,Seçki məntəqələrini müşahidə etmək
observation.no_election_round.heading,No election event to observe yet,"ჯერ არ არის ისეთი, საარჩევნო ღონისძიება, რომელიც დაკვირვებას საჭიროებს",,,Hələ müşahidəyə ehtiyac duyan seçki tədbiri yoxdur
observation.no_election_round.paragraph,You will be able to use the app once you will be assigned to an election event by your organization,"თქვენ შეძლებთ აპლიკაციის გამოყენებას მას შემდეგ, რაც თქვენი ორგანიზაცია მიგამაგრებთ საარჩევნო ღონისძიებაზე ",,,Təşkilatınız sizi seçki tədbirinə əlavə etdikdən sonra aplikasiyadan istifadə edə biləcəksiniz
observation.no_visited_polling_stations.heading,No visited polling stations yet,ჯერ არ არის მონახულებული საარჩევნო უბნები,,,Seçki məntəqələri hələ ziyarət edilməyib
observation.no_visited_polling_stations.paragraph,Start configuring your first polling station before completing observation forms.,სადამკვირვებლო ფორმების შევსებამდე მიუთითეთ პირველი საარჩევნო უბანი,,,Müşahidəçi formalarını doldurmazdan əvvəl ilk seçki məntəqəsini göstərin
observation.no_visited_polling_stations.add,Add your first polling station,დაამატეთ თქვენი პირველი საარჩევნო უბანი,,,İlk seçki məntəqənizi əlavə edin
observation.my_polling_stations.heading,My polling stations,ჩემი საარჩევნო უბნები,,,Mənim seçki məntəqələrim
observation.my_polling_stations.paragraph,You can switch between polling stations if you want to revisit form answers or polling station information.,"თქვენ შეგიძლიათ გადართოთ საარჩევნო უბნები, თუ გსურთ ფორმის პასუხების ან საარჩევნო უბნის ინფორმაციის ხელახლა ნახვა.",,,"Forma cavablarını və ya səsvermə məntəqəsi məlumatını yenidən görmək istəyirsinizsə, seçki məntəqələrini çevirə bilərsiniz."
observation.my_polling_stations.add,Add new polling station,დაამატეთ ახალი საარჩევნო უბანი,,,Yeni seçki məntəqəsi əlavə edin.
observation.polling_stations_information.heading,Polling station information,ინფორმაცია საარჩევნო უბანზე,,,Seçki məntəqəsi haqqında məlumat
observation.polling_stations_information.time_select.not_defined,Not defined,არ არის განსაზღვრული,,,Müəyyən edilməyib
observation.polling_stations_information.time_select.arrival_time,Arrival time,მისვლის დრო,,,Giriş vaxtı
observation.polling_stations_information.time_select.departure_time,Departure time,გასვლის დრო,,,Çıxış vaxtı
observation.polling_stations_information.time_select.save,Done,შესრულებულია,,,Yerinə yetirilib
observation.polling_stations_information.time_select.error.arrival_first,Please select an arrival time first.,"გთხოვთ, ჯერ აირჩიოთ მისვლის დრო",,,"Xahiş edirik, ilk əvvəl giriş vaxtını seçəsiniz"
observation.polling_stations_information.time_select.error.later_departure,Please select a departure time that is at a later time than the arrival.,"გთხოვთ, აირჩიოთ გასვლის დრო, რომელიც მისვლის დროზე გვიან არის",,,"Xahiş edirik, giriş vaxtından gec olan çıxış vaxtını seçəsiniz"
observation.polling_stations_information.time_select.error.earlier_arrival,Please select an arrival time that is at an earlier time than the departure.,"გთხოვთ, აირჩიოთ მისვლის დრო, რომელიც გასვლის დროზე ადრე არის",,,"Xahiş edirik, çıxış vaxtından əvvəl olan giriş vaxtını seçəsiniz"
observation.polling_stations_information.time_select.error.server,We couldn't send the information to the server.,ჩვენ ვერ შევძელით ინფორმაციის სერვერზე გაგზავნა,,,Biz məlumatı serverə göndərə bilmədik
observation.polling_stations_information.polling_station_form.paragraph,Answer a few quick questions about the polling station.,"გთხოვთ, საარჩევნო უბნის შესახებ რამდენი მოკლე შეკითხვას უპასუხოთ",,,"Xahiş edirik, seçki məntəqəsi haqqında bir neçə qısa suala cavab verəsinz."
observation.polling_stations_information.polling_station_form.form_details_button_label,Polling station questions,საარჩევნო უბნის შეკითხვები,,,Seçki məntəqəsinin sualları
observation.polling_stations_information.polling_station_form.number_of_questions,{{value}} questions,{{value}} კითხვები,,,{{value}} Suallar
observation.polling_stations_information.polling_station_form.answer_questions,Answer questions,უპასუხე შეკითხვებს,,,Suallara cavab ver.
observation.forms.heading,Observation forms,სადამკვირვებლო ფორმები,,,Müşahidəçi formaları
observation.forms.list.empty,Observation forms will appear here once your organization will publish them in the system.,"აქ გამოჩნდება სადამკვირვებლო ფორმები, როდესაც შენი ორგანიზაცია განათავსებს სისტემაში",,,Təşkilatınız müşahidə formalarını sistemə yerləşdirəndə burada görünəcək
observation.forms.list.error.paragraph1,Something went wrong!,რაღაც პრობლემაა!,,,Problem var!
observation.forms.list.error.paragraph2,We could not fetch the data. Press the retry button to try again!,"მონაცემების მიღება ვერ მოხერხდა. დააჭირეთ ხელახლა ცდის ღილაკს, რათა სცადოთ კიდევ ერთხელ!
",,,Məlumatları əldə etmək alınmadı. Yenidən cəhd etmək üçün yenidən cəhd edin düyməsinə basın!
observation.forms.list.error.retry,Retry,სცადეთ ხელახლა,,,Yenidən cəhd edin
observation.forms.select_language_modal.header,Select form language,აირჩიეთ ფორმის ენა,,,Forma üçün dil seçin
observation.forms.select_language_modal.helper,The selected form is available in multiple languages. Please select which one you would like to continue with.,"შერჩეული ფორმა ხელმისაწვდომია რამდენიმე ენაზე. გთხოვთ, აირჩიოთ, რომელი ენით გსურთ გაგრძელება.
",,,"Seçilmiş forma bir neçə dildə əlçatan olacaq. Xahiş edirik, hansı dildə davam etmək istədiyinizi seçin."
observation.forms.select_language_modal.error,Please select one of the options,"გთხოვთ, არჩიოთ ერთ-ერთი ვარიანტი",,,Xahiş edirik variantlardan birini seçin
observation.options_menu.manage_my_polling_stations,Manage my polling stations,"ჩემი საარჩევნო უბნების მართვა
",,,Mənim seçki məntəqələrimin idarə edilməsi
polling_station_information_form.title,Polling station information,საარჩევნო უბნის ინფორმაცია,,,Seçki məntəqəsinin məlumatı
polling_station_information_form.submit,Submit answers,პასუხების გაგზავნა,,,Cavabların göndərilməsi
polling_station_information_form.form.max,Input cannot exceed {{value}} characters,შეყვანილი ტექსტი არ უნდა აღემატებოდეს {{value}} სიმბოლოს,,,Daxil edilmiş mətn {{value}} simvoldan çox olmamalıdır
polling_station_information_form.form.placeholder,Please enter a text..,"გთხოვთ, შეიყვანოთ ტექსტი..",,,Xahiş edirik mətni daxil edin...
polling_station_information_form.menu.clear,Clear form (delete all answers),"ფორმის გასუფთავება (ყველა პასუხის წაშლა)
",,,Formanı silin (bütün cavabların silinməsi)
polling_station_information_form.warning_modal.title,Clear Polling station information form,საარჩევნო უბნის ინფორმაციის ფორმის წაშლა,,,Seçki məntəqəsinin məlumat formasının silinməsi
polling_station_information_form.warning_modal.description,"This action will delete all answers entered so far for this form. To avoid unintended information loss, please ensure you check the form before performing this action.","ეს მოქმედება წაშლის ამ ფორმაში შეყვანილ ყველა პასუხს. არასასურველი ინფორმაციის დაკარგვის თავიდან ასაცილებლად, გთხოვთ, გადაამოწმოთ ფორმა ამ მოქმედების შესრულებამდე.
",,,"Bu hərəkət formaya daxil edilmiş bütün cavabları siləcək. Xoşagəlməz məlumatın itirilməsini aradan qaldırmaq üçün xahiş edirik, bu hərəkəti yerinə yetirənə qədər formanı yoxlayın."
polling_station_information_form.warning_modal.actions.cancel,Cancel,გაუქმება,,,Ləğv etmək
polling_station_information_form.warning_modal.actions.clear,Clear form,"ფორმის გასუფთავება (ყველა პასუხის წაშლა)
",,,Formanın silinməsi (bütün cavabların silinməsi)
polling_station_information_form.unsaved_changes_dialog.title,Save changes to form,ფორმაში ცვლილებების შენახვა,,,Formada dəyişikliklərin yadda saxlanılması
polling_station_information_form.unsaved_changes_dialog.description,You have unsaved changes on this form. Do you want to save your changes before leaving?,"თქვენ ამ ფორმაზე გაქვთ შეუნახავი ცვლილებები. გსურთ ფორმის დატოვებამდე ცვლილებების შენახვა?
",,,Bu formada yadda saxlanmamış dəyişiklikləriniz var. Formadan çıxmazdan əvvəl dəyişikliklərinizi yadda saxlamaq istəyirsiniz?
polling_station_information_form.unsaved_changes_dialog.actions.discard,Discard,წაშლა ,,,Silmək 
polling_station_information_form.unsaved_changes_dialog.actions.save,Save changes,ცვლილებების შენახვა,,,Dəyişiklikləri yaddaşa almaq
form_overview.overview.heading,Form Overview,ფორმის გადახედვა,,,Formaya yenidən baxış
form_overview.overview.status,Form status,ფორმის სტატუსი,,,Forma statusu
form_overview.overview.answered_questions,Answered questions,პასუხგაცემული კითხვები,,,Cavablandırılmış suallar
form_overview.overview.resume,Resume form,ფორმის გაგრძელება,,,Formanı davam etdirmək
form_overview.overview.start_form,Start form,ფორმის დაწყება,,,Formaya başlamaq
form_overview.overview.progress,progress,პროგრესი,,,İnkişaf
form_overview.questions.title,Questions,კითხვები,,,Suallar
form_overview.questions.not_answered,Not Answered,პასუხი არ არის გაცემული,,,Cavab verilməyib
form_overview.questions.answered,Answered,პასუხი გაცემულია,,,Cavab verilib
form_overview.questions.no_notes,No attached notes,არ შეიცავს ჩანაწერს,,,Əlavə edilmiş qeydləri əhatə etmir
form_overview.questions.notes,Includes attached notes,შეიცავს ჩანაწერს ,,,Əlavə edilmiş qeydləri əhatə edir
form_overview.attachments.notes,{{count}} Note(s),{{count}} ჩანაწერი(ები),,,{{count}} Qeyd (lər)
form_overview.attachments.media,{{count}} Media file(s),{{count}} მედია ფაილი(ები),,,{{count}} Media fayllar
form_overview.error,Error while loading the form data!,"შეცდომა ფორმის მონაცემების ჩატვირთვისას!
",,,Forma məlumatları yüklənərkən xəta baş verdi!
form_overview.menu.clear,Clear form (delete all answers),"ფორმის გასუფთავება (ყველა პასუხის წაშლა)
",,,Formanın təmizlənməsi (bütün cavabların silinməsi)
form_overview.menu.change_language,Change language,ენის შეცვლა,,,Dili dəyişmək
form_overview.clear_answers_modal.title,Clear form {{value}},"ფორმის გასუფთავება {{value}}
",,,Formanın təmizlənməsi {{value}}
form_overview.clear_answers_modal.description.p1,This action will delete all answers entered so far for this form (including notes and media files). Status of all questions will be reverted to 'Not Answered'.,"ეს მოქმედება წაშლის ამ ფორმაში შეყვანილ ყველა პასუხს (მათ შორის შენიშვნებსა და მედია ფაილებს). ყველა კითხვის სტატუსი შეიცვლება, როგორც „პასუხგაუცემელი“.",,,"Bu əməliyyat formaya daxil edilmiş bütün cavabları (qeydlər və media faylları daxil olmaqla) siləcək. Bütün sualların statusu ""Cavabsız"" olaraq dəyişəcək."
form_overview.clear_answers_modal.description.p2,"To avoid unintended information loss, please ensure you check the form before performing this action","არასასურველი ინფორმაციის დაკარგვის თავიდან ასაცილებლად, გთხოვთ გადაამოწმოთ ფორმა ამ მოქმედების შესრულებამდე
",,,Xoşagəlməz məlumat itkisinin qarşısını almaq üçün bu əməliyyatı yerinə yetirməzdən əvvəl formanı yoxlayın
form_overview.clear_answers_modal.actions.clear,Clear form,"ფორმის გასუფთავება
",,,Formanın təmizlənməsi
form_overview.clear_answers_modal.actions.cancel,Cancel,გაუქმება,,,Ləğv etmək
polling_station_form_wizard.progress_bar.label,Form progress,ფორმის პროგრესი,,,Formanın inkişafı
polling_station_form_wizard.progress_bar.clear_answer,Clear answer,პასუხის წაშლა,,,Cavabın silinməsi
polling_station_form_wizard.form.min,The field must be at least {{value}} characters long,"ველი უნდა შეიცავდეს მინიმუმ {{value}} სიმბოლოს
",,,Sütun ən azı {{value}} simvol olmalıdır
polling_station_form_wizard.form.max,The field must have a maximum of {{value}} characters,"ველს უნდა ჰქონდეს მაქსიმუმ {{value}} სიმბოლო
",,,Sütunun maksimum {{value}} simvolu olmalıdır
polling_station_form_wizard.form.date_placeholder,Please enter a date,"გთხოვთ, შეიყვანოთ თარიღი
",,,Xahiş edirik tarixi qeyd edin
polling_station_form_wizard.form.text_placeholder,Please enter a text,"გთხოვთ, შეიყვანოთ ტექსტი
",,,Xahiş edirik mətni qeyd edin
polling_station_form_wizard.attachments.heading,Uploaded media,"ატვირთული მედია
",,,Yüklənmiş media
polling_station_form_wizard.attachments.loading,Adding attachment... ,"დანართი ემატება…
",,,Qoşma əlavə edilir…
polling_station_form_wizard.attachments.error,Error while sending the attachment!,"შეცდომა დანართის გაგზავნისას!
",,,Qoşma göndərilərkən xəta baş verdi!
polling_station_form_wizard.attachments.add,Add notes and media,"ჩანაწერისა და მედიის დამატება
",,,Qeydlər və medianın əlavə edilməsi
polling_station_form_wizard.attachments.menu.add_note,Add note,ჩანაწერის დამატება,,,Qeydin əlavə edilməsi
polling_station_form_wizard.attachments.menu.load,Load from gallery,გალერეიდან ჩატვირთვა,,,Qalereyadan yükləmə
polling_station_form_wizard.attachments.menu.take_picture,Take a photo,ფოტოს გადაღება,,,Şəkil çəkdirmək
polling_station_form_wizard.attachments.menu.record_video,Record a video,ვიდეოს ჩაწერა,,,Video yazmaq
polling_station_form_wizard.attachments.menu.upload_audio,Upload audio file,აუდიო ფაილის ატვირთვა,,,Audio faylın yüklənməsi
polling_station_form_wizard.notes.heading,Notes,ჩანაწერები,,,Qeydlər 
polling_station_form_wizard.notes.add.heading,Add a note,ჩანაწერის დამატება,,,Qeydin əlavə edilməsi
polling_station_form_wizard.notes.add.form.input.placeholder,Add any relevant notes to this question.,დაამატეთ ნებისმიერი რელევანტური შენიშვნა ამ შეკითხვაზე,,,Bu suala hər hansı müvafiq qeyd əlavə edin
polling_station_form_wizard.notes.add.form.input.max,"Input cannot exceed 10,000 characters","შეყვანილი ტექსტი არ უნდა აღემატებოდეს 10,000 სიმბოლოს",,,Daxil edilmiş mətn 10.000 simvoldan çox olmamalıdır
polling_station_form_wizard.notes.add.form.input.required,This field is required,ეს ველი სავალდებულო არ არის,,,Bu sütun məcburi deyil
polling_station_form_wizard.notes.edit.heading,Edit note,შენიშვნის დარედაქტირება,,,Qeydin redaktə edilməsi
polling_station_form_wizard.notes.edit.delete,Delete note,შენიშვნის წაშლა,,,Qeydin silinməsi
polling_station_form_wizard.notes.delete.title,Delete note,შენიშვნის წაშლა,,,Qeydin silinməsi
polling_station_form_wizard.notes.delete.description,"This action cannot be undone. Once deleted, a note cannot be retrieved.",ამ მოქმედებას ვეღარ შეცვლით. წაშლილი შენიშვნის აღდგენა შესაძლებელი არ არის,,,Bu əməliyyatı dəyişə bilməzsiniz. Silinmiş qeydi bərpa etmək mümkün deyil
polling_station_form_wizard.notes.delete.actions.cancel,Cancel,გაუქმება,,,Ləğv etmək
polling_station_form_wizard.notes.delete.actions.delete,Delete,წაშლა,,,Silmək
