Key,az,bg,en,hy,ka,pl,ro,ru,sr
onboarding.forms.description,Və monitorinqin hər bir mərhələsində onların tərəqqisinə nəzər yetirin,и проследявайте техния прогрес във всеки етап на наблюдението,and submit reports for each monitoring stage to help ensure a transparent and fair electoral process,և հետևեք դրանց զարգացմանը մշտադիտարկման յուրաքանչյուր փուլում,და ადევნეთ თვალი მათ პროგრესს მონიტორინგის თითოეულ ეტაპზე,i śledź postęp w trakcie kolejnych etapów,și trimite sesizări pentru a ajuta la asigurarea unui proces electoral transparent și corect,Проследите за их прогрессом на каждом этапе мониторинга.,i pratite njihov napredak tokom svake faze monitoringa.
onboarding.media.heading,Qeyd və ya media fayllar əlavə edin,Добавете бележки или медийни файлове,Add notes or media files,Ավելացրեք նշումներ կամ մեդիաֆայլեր,დაამატეთ შენიშვნა ან მედია ფაილები,Dodaj notatki i pliki z nagraniami lub zdjęciami,Adaugă notițe sau fișiere media,Добавьте замечания или медиафайлы,Dodajte vaše medijske datoteke
onboarding.media.description,Əgər siz izlədiyiniz cavabı əlavə olaraq təsdiq edəcək hansısa problem görübsünüzsə,"ако забележите проблеми, за да подкрепите допълнително отговорите си ",to further support your observations and provide evidence for any irregularities,"եթե ​​նկատել եք որևէ խնդիր, որը հավելյալ կերպով հաստատում է ձեր նշած պատասխանը","თუ თქვენ შეამჩნიეთ რაიმე პრობლემა, რომელიც დამატებით დაადასტურებს თქვენს მიერ მონიშნულ პასუხს","jeśli odnotowałeś jakieś problemy, by dookreślić udzieloną odpowiedź",pentru a susține în continuare observațiile tale și a furniza dovezi pentru orice nereguli,"Если вы заметили какие-либо проблемы, которые дополнительно подтвердят отмеченный вами ответ.",ako primetite bilo kakve neregularnosti koji bi dodatno mogli podržati vaše tvrdnje
onboarding.media.save,Appa keçid,Влезте в приложението,Go to app,Անցնել app,აპზე გადასვლა,Przejdź do aplikacji,Mergi la aplicație,Перейдите в аппликацию,Pređi na aplikaciju
select_app_mode.heading,Aplikasiya rejimi seçin,Изберете режим на приложението,Select app mode,Ընտրեք հավելվածի ռեժիմը,აირჩიეთ აპლიკაციის რეჟიმი,Wybór trybu aplikacji,Selectează modul aplicației,Выберите режим приложения,Odaberite način aplikacije.
select_app_mode.description,Siz seçki prosesini akkreditasiyadan keçmiş müşahidəçi və ya sadəcə olaraq ədalətli və demokratik seçkilərə dəstək verməkdə maraqlı olan vətəndaş kimi müşahidə edə bilərsiniz.,"Можете да наблюдавате изборния процес като акредитиран наблюдател или просто като гражданин, който се интересува от защитата на честни и демократични избори.","You can monitor the electoral process as an accredited observer, or just as a citizen interested in supporting fair and democratic elections.",Դուք կարող եք հետևել ընտրական գործընթացին որպես հավատարմագրված դիտորդ կամ պարզապես որպես արդար և ժողովրդավարական ընտրությունների անցկացմամբ շահագրգռված քաղաքացի։,"თქვენ შეგიძლიათ დააკვირდეთ საარჩევნო პროცესს, როგორც აკრედიტებული დამკვირვებელი, ან უბრალოდ როგორც მოქალაქე, რომელიც დაინტერესებულია სამართლიანი და დემოკრატიული არჩევნების მხარდაჭერით.",Możesz monitorować proces wyborczy jako akredytowany obserwator lub po prostu jako obywatel zainteresowany wspieraniem uczciwych i demokratycznych wyborów.,Poți monitoriza procesul electoral ca observator acreditat sau doar ca cetățean interesat să susțină desfășurarea unor alegeri corecte și democratice.,"Вы можете следить за избирательным процессом в качестве аккредитованного наблюдателя или просто как гражданин, заинтересованный в поддержке честных и демократических выборов.",Možete pratiti izborni proces kao akreditirani posmatrač ili samo kao građanin zainteresovan za podršku poštenim i demokratskim izborima.
select_app_mode.accredited_observer.title,Vote Monitor - akreditasiyadan keçmiş müşahidəçilər üçün,Vote Monitor за акредитирани наблюдатели,Vote Monitor for Accredited Observers,Vote Monitor հավատարմագրված դիտորդների համար,Vote Monitor აკრედიტირებული დამკვირვებლებისთვის,Monitor głosowania dla akredytowanych obserwatorów,Vote Monitor pentru Observatori Acreditați,"""Vote Monitor"" для аккредитованных наблюдателей",Vote Monitor za akreditirane posmatrače
select_app_mode.accredited_observer.description,Mən akkreditə olunmuş müstəqil müşahidəçiyəm və seçki prosesini müşahidə etmək üçün QHT tərəfindən dəvət olunmuşam. **,"Аз съм акредитиран независим наблюдател, поканен от неправителствена организация да наблюдава изборния процес. **","I am an accredited independent observer, invited by an NGO to observe the electoral process. **","Ես ընտրական գործընթացին հետևելու նպատակով հրավիրված, հասարակական կազմակերպության կողմից հավատարմագրված դիտորդ եմ: **","მონიშნეთ ეს გრაფა, თუ ხართ 26 ოქტომბრის საქართველოს საპარლამენტო არჩევნების დამკვირვებელი (აკრედიტირებული დამკვირვებლებისთვის) **","Jestem akredytowanym niezależnym obserwatorem, zaproszonym przez organizację pozarządową do obserwowania procesu wyborczego. **","Sunt un observator independent acreditat, invitat de un ONG să observ procesul electoral. **","Я аккредитованный независимый наблюдатель, приглашенный одной из неправительственных организаций для наблюдения за избирательным процессом. **","Ja sam akreditirani nezavisni posmatrač, pozvan od strane nevladine organizacije da posmatra izborni proces. Šta se dešava?"
select_app_mode.citizen.title,Vətəndaşlar üçün Səs Monitoru,Vote Monitor за граждани,Vote Monitor for Citizens,Vote Monitor քաղաքացիների համար,Vote Monitor მოქალაქეებისთვის,Monitor głosowania dla obywateli,Vote Monitor pentru Cetățeni,Vote Monitor для граждан,Vote Monitor za građane
select_app_mode.citizen.description,Mən vətəndaşam və seçki kampaniyası zamanı və ya seçki günü gördüyüm seçki pozuntuları barədə məlumat vermək istəyirəm.,"Аз съм гражданин и искам да съобщя за изборни нарушения, които забележа по време на предизборната кампания или в деня на изборите.",I am a citizen and I want to report electoral irregularities I see during the electoral campaign or on election day.,Ես քաղաքացի եմ և ուզում եմ գրանցել գրանցել ընտրարշավի ընթացքում կամ ընտրությունների օրը արձանագրված ընտրախախտումները: ,"არ მონიშნოთ ეს გრაფა, თუ ხართ 26 ოქტომბრის საქართველოს საპარლამენტო არჩევნების დამკვირვებელი. მონიშნეთ ზედა გრაფა აკრედიტირებული დამკვირვებლებისთვის!","Jestem obywatelem i chcę zgłosić nieprawidłowości wyborcze, które widzę podczas kampanii wyborczej lub w dniu wyborów.",Sunt un cetățean și vreau să raportez nereguli electorale pe care le observ în timpul campaniei electorale sau în ziua alegerilor.,"Я гражданин и хочу сообщить о нарушениях, которые я вижу во время избирательной кампании или в день выборов.",Ja sam građanin i želim da prijavim izborne nepravilnosti koje sam video tokom izborne kampanje ili na dan izbora.
select_app_mode.helper,**Akkreditasiya olunmuş müşahidəçi kimi siz istənilən vaxt proqramın menyusundan Vətəndaş rejiminə keçə biləcəksiniz.,**Като акредитиран наблюдател ще можете да преминете в режим „Гражданин“ по всяко време от менюто на приложението.,"**As an accredited observer you will be able to switch to Citizen mode at any time, from the app’s menu.",**Որպես հավատարմագրված դիտորդ  ցանկացած պահի կարող եք անցնել Vote Monitor  քաղաքացու ռեժիմի՝  հավելվածի մենյուից:,"**როგორც აკრედიტებული დამკვირვებელი ნებისმიერ დროს შეძლებთ გადახვიდეთ Vote Monitor მოქალაქის რეჟიმში, აპლიკაციის მენიუდან.",**Jako akredytowany obserwator będziesz mógł przełączyć się na tryb obywatela w dowolnym momencie z menu aplikacji.,"**Ca observator acreditat vei putea trece în modul Cetățean oricând, din meniul aplicației.","**Как аккредитованный наблюдатель, вы сможете в любой момент переключиться в режим гражданина из меню приложения.","Kao akreditirani posmatrač moći ćete da pređete na Građanski način u bilo koje vreme, sa menija aplikacije."
select_app_mode.continue,Davam et,Продължете,Continue,Շարունակել ,გაგრძელება,Kontynuuj,Continuă,Продолжить,Nastavite.
select_election_event.heading,Mövcud seçki tədbirləri,Налични изборни събития,Available election events,Հասանելի ընտրական միջոցառումներ,ხელმისაწვდომი საარჩევნო ღონისძიებები,Dostępne wydarzenia wyborcze,Evenimente electorale disponibile,Доступные события выборов,Dostupni izborni događaji
select_election_event.description,Hesabat təqdim etmək istədiyiniz tədbiri seçin:,"Изберете събитието, за което искате да подадете отчет:",Select the event for which you would like to submit a report for:,"Նշեք այն միջոցառումը, որի վերաբերյալ ցանկանում եք ներկայացնել զեկույց. ","მონიშნეთ ღონისძიება, რომლის შესახებაც გსურთ ანგარიშის გაგზავნა:","Wybierz wydarzenie, dla którego chcesz przesłać raport:",Selectează evenimentul pentru care dorești să trimiți o sesizare:,"Выберите то событие, по которому вы хотите отправить отчет:",Izaberite događaj za koji želite da podnesete izveštaj:
select_election_event.continue,Davam et,Продължете,Continue,Շարունակել ,გაგრძელება,Kontynuuj,Continuă,Продолжить,Nastavite.
select_election_event.empty_description,Hal-hazırda bir vətəndaş kimi insidentlər barədə məlumat verə biləcəyiniz aktiv seçki tədbirləri yoxdur. Tədbir mövcud olduqdan sonra onu bu bölmədə görəcəksiniz.,"В момента няма активни изборни събития, за които като гражданин да съобщите за инциденти. Когато дадено събитие бъде достъпно, ще го видите в този раздел.","At this moment there are no active electoral events for which you can report incidents as a citizen. Once an event will be available, you will see it in this section.","Այս պահին  դեռևս ակտիվ չէ որևէ ընտրական միջոցառում, որի մասին  հնարավոր է արձանագրել միջադեպեր քաղաքացու կարգավիճակով։ Միջոցառումը հասանելի դառնալուց անմիջապես հետո այն կարող եք տեսնել այս բաժնում: ","ამ მომენტისთვის ჯერ არ არის აქტიური არც ერთი საარჩევნო ღონისძიება, რომლებზეც მოქალაქის სტატუსით ინციდენტების შეტყობინება შესაძლებელია . როგორც კი ღონისძიება ხელმისაწვდომი იქნება, მას ამ განყოფილებაში ნახავთ.","W tej chwili nie ma aktywnych wydarzeń wyborczych, dla których można zgłaszać incydenty jako obywatel. Gdy wydarzenie będzie dostępne, pojawi się w tej sekcji.","În acest moment nu există evenimente electorale active pentru care poți raporta incidente ca cetățean. Odată ce un eveniment va fi disponibil, îl vei vedea în această secțiune.","На данный момент нет активных избирательных событий, по которым вы можете сообщить о происшествиях как гражданин. Как только событие станет доступно, вы увидите его в этом разделе.","Trenutno nema aktivnih izbornih događaja za koje možete prijaviti incident kao građanin. Kada bude dostupan događaj, videćete ga u ovom delu."
select_election_event.error_description,Mövcud seçki tədbirləri əldə edilərkən xəta baş verdi. Yenidən cəhd edin.,"Нещо се обърка при зареждането на наличните изборни събития. Моля, опитайте отново.",Something went wrong while retrieving the available election events. Please retry.,Հասանելի ընտրական միջոցառումը վերականգնելիս արձանագրվել է սխալ: Խնդրում ենք կրկին փորձել:,ხელმისაწვდომი საარჩევნო ღონისძიების აღდგენისას დაფიქსირდა შეცდომა. გთხოვთ ხელახლა სცადოთ.,Coś poszło nie tak podczas pobierania dostępnych wydarzeń wyborczych. Spróbuj ponownie.,Ceva nu a funcționat în timp ce se încărcau evenimentele electorale disponibile. Te rugăm să încerci din nou.,"Что-то пошло не так при получении доступных событий выборов. Пожалуйста, повторите попытку.","Nešto je pošlo naopako dok smo vraćali raspoložive izborne događaje. Molim vas, pokušajte ponovo."
select_election_event.retry,Yenidən cəhd edin,Опитайте отново,Retry,Կրկին փորձեք ,სცადეთ ხელახლა,Ponów próbę,Încearcă din nou,Повторная попытка,Pokušaj ponovo.
drawer.report_as,{{value}} olaraq bildirin,Докладвайте като {{стойност}},Report as {{value}},Հաղորդագրություն որպես {{value}},შეტყობინება როგორც {{value}},Zgłoś jako {{value}},Raportează ca {{value}},Сообщить как {{value}},Izveštaj kao {{value}}
drawer.citizen,vətəndaş,Гражданин,citizen,Քաղաքացի ,მოქალაქე,obywatel,cetățean,гражданин/гражданка,Građanin
drawer.accredited_observer,akkreditə olunmuş müşahidəçi,Акредитиран наблюдател,accredited observer,Հավատարմագրված դիտորդ ,აკრედიტირებული დამკვირვებელი,akredytowany obserwator,observator acreditat,аккредитованный наблюдатель,Akreditirani posmatrač
citizen_report_issue.header_title,Problemi bildirin,Докладвайте проблем,Report an issue,Հրատապ հաղորդագրություն խախտման մասին ,დარღვევის სწრაფი შეტყობინება,Zgłoś problem,Raportează o problemă,Сообщить о проблеме,Prijavite izdanje.
citizen_report_issue.description,Bir vətəndaş kimi siz aşağıdakı siyahıdan hesabat formasını doldurmaqla seçki ilə bağlı problem barədə məlumat verə bilərsiniz.,"Като гражданин можете да съобщите за проблем, свързан с изборите, като попълните формуляр за докладване от списъка по-долу.","As a citizen, you can report an election-related issue, by filling-in a reporting form, from the list below.", Որպես քաղաքացի դուք կարող եք հայտնել ընտրությունների հետ կապված խնդրի մասին՝ լրացնելով զեկույցի ձևը ստորև բերված ցանկից:,"როგორც მოქალაქეს, თქვენ შეგიძლიათ დააფიქსიროთ არჩევნებთან დაკავშირებული პრობლემა, ქვემოთ მოცემული სიიდან, ანგარიშის ფორმის შევსებით.","Jako obywatel możesz zgłosić kwestię związaną z wyborami, wypełniając formularz zgłoszeniowy z poniższej listy.","Ca cetățean, poți raporta o problemă legată de alegeri completând un formular de raportare din lista de mai jos.","Как гражданин, вы можете сообщить о проблеме, связанной с выборами, заполнив форму заявления из приведенного ниже списка.","Kao građanin, možete prijaviti pitanje vezano za izbore, popunjavanjem obrasca za prijavu, sa liste ispod."
citizen_report_issue.empty_forms,Hesabat formaları Səs Monitoru komandası onları sistemdə dərc etdikdən sonra burada görünəcək.,"Формулярите за докладване ще се появят тук, след като екипът на Vote Monitor ги публикува в системата.",Reporting forms will appear here once Vote Monitor team will publish them in the system.,Զեկույցների ձևերը կհայտնվեն այստեղ՝ Vote Monitor թիմի կողմից դրանք համակարգում տեղադրելուց հետո:,"მოხსენების ფორმები  გამოჩნდება აქ, მას შემდეგ, რაც Vote Monitor გუნდი მათ სისტემაში გამოაქვეყნებს.","Formularze sprawozdawcze pojawią się tutaj, gdy zespół „Vote Monitor” opublikuje je w systemie.",Formularele de raportare vor apărea aici odată ce echipa Vote Monitor le va publica în sistem.,"Формы отчетов появятся здесь, как только команда Vote Monitor опубликует их в системе.",Formulari za prijavljivanje će se pojaviti ovde kada ih tim za praćenje glasova objavi u sistemu.
citizen_report_issue.error_message,Hesabat formalarını əldə edərkən xəta baş verdi. Yenidən cəhd edin.,"Нещо се е объркало при извличането на формулярите за отчитане. Моля, опитайте отново.",Something went wrong while retrieving the reporting forms. Please retry.,"Զեկույցի ձևերը վերականգնելիս արձանագրվել է սխալ: Խնդրում ենք կրկին փորձել:
",ანგარიშის ფორმების აღდგენისას დაფიქსირდა შეცდომა. გთხოვთ ხელახლა სცადოთ.,Coś poszło nie tak podczas pobierania formularzy raportowania. Spróbuj ponownie.,Ceva nu a funcționat în timp ce se încărcau formularele de raportare. Te rugăm să încerci din nou.,"При получении отчетных форм что-то пошло не так. Пожалуйста, повторите попытку.","Nešto je pošlo naopako dok smo uzimali prijave. Molim vas, pokušajte ponovo."
citizen_report_issue.retry,Yenidən cəhd edin,Опитайте отново,Retry,Փորձեք կրկին ,სცადეთ ხელახლა,Ponów próbę,Încearcă din nou,Повторная попытка,Pokušaj ponovo.
citizen_report_issue.info_modal.p1,Vote Monitor Citizen vasitəsilə təqdim olunan hesabatlar seçki hadisəsini izləyən QHT-lər tərəfindən təhlil ediləcək və seçki müşahidəsi hesabatlarına daxil edilə bilər. Bəzi hallarda gələcək seçki proseslərini təkmilləşdirmək üçün hesabatlarınız seçkilərin təşkilinə cavabdeh olan qurumlara göndərilə bilər.,"Докладите, подадени чрез Vote Monitor за граждани, ще бъдат анализирани от неправителствените организации, които наблюдават изборите, и могат да бъдат включени в техните официални доклади. В определени случаи вашите доклади могат да бъдат предадени на институциите, отговорни за организирането на изборите, с цел подобряване на изборния процес.","Reports submitted through Vote Monitor Citizen will be analysed by the NGOs monitoring the election event, and may be included in electoral observation reports. In certain cases, your reports may be forwarded to the institutions responsible for organising elections in order to improve future election processes.","Vote Monitor Citizen-ի միջոցով ուղարկված ձևաթղթերը կվերլուծվեն ընտրական միջոցառման մշտադիտարկումն իրականացնող հասարակական կազմակերպության կողմից և հնարավոր է օգտագործվեն ընտրությունների մասին վերջնական զեկույցներում: Որոշ դեպքերում, ձեր կողմից լրացված ձևաթուղթը կարող է փոխանցվել ընտրությունների կազմակերպման համար պատասխանատու կառույցներին՝  ընտրական գործընթացներն ապագայում բարելավելու նպատակով: ","Vote Monitor Citizen-ის მეშვეობით გაგზავნილი ფორმები გაანალიზდება საარჩევნო ღონისძიებაზე მონიტორინგის განმახორციელებელი არასამთავრობო ორგანიზაციების მიერ და შესაძლოა გამოყენებული იყოს არჩევნების შესახებ საბოლოო ანგარიშებში. ზოგიერთ შემთხვევაში, თქვენს მიერ შევსებული ფორმა შეიძლება გადაეგზავნოს არჩევნების ორგანიზებაზე პასუხისმგებელ ინსტიტუტებს, რათა გაუმჯობესდეს მომავალი საარჩევნო პროცესები.",Raporty przesłane za pośrednictwem Vote Monitor Citizen będą analizowane przez organizacje pozarządowe monitorujące wybory i mogą zostać włączone do raportów z obserwacji wyborów. W niektórych przypadkach raporty mogą zostać przekazane instytucjom odpowiedzialnym za organizację wyborów w celu usprawnienia przyszłych procesów wyborczych.,"Rapoartele trimise prin Vote Monitor Citizen vor fi analizate de ONG-urile care monitorizează evenimentul electoral și pot fi incluse în rapoartele de observare electorală. În anumite cazuri, sesizările tale pot fi transmise instituțiilor responsabile cu organizarea alegerilor pentru a îmbunătăți procesele electorale viitoare.","Отчеты, отправленные через Vote Monitor Citizen, будут проанализированы НПО, осуществляющими мониторинг избирательных событий, и могут быть включены в отчеты о наблюдении за выборами. В некоторых случаях ваши отчеты могут быть направлены в учреждения, ответственные за организацию выборов, для улучшения будущих избирательных процессов.","Izveštaje koje su podneli građani koji prate glasanje analiziraće nevladine organizacije koje nadgledaju izborni događaj i mogu da budu uključeni u izveštaje o posmatranju izbora. U određenim slučajevima, vaši izveštaji mogu biti prosleđeni institucijama odgovornim za organizaciju izbora kako bi se unapredili budući izborni procesi."
citizen_report_issue.info_modal.p2,"Nəzərə alın ki, bu ərizə vasitəsilə hesabatın təqdim edilməsi seçkilərin təşkilinə cavabdeh olan qurumlara edilən rəsmi şikayət sayılmır.","Моля, имайте предвид, че подаването на сигнал чрез това приложение не представлява официална жалба, подадена до институциите, отговорни за организирането на изборите.",Please note that submitting a report through this application does not constitute an official complaint filed with the institutions responsible for organising elections.,"Խնդրում ենք հաշվի առնել, որ այս հավելվածի միջոցով զեկույց  ներկայացնելը չի համարվում ընտրությունների կազմակերպման համար պատասխանատու հաստատություններ ներկայացված պաշտոնական բողոք: ","გთხოვთ, გაითვალისწინოთ, რომ ამ აპლიკაციის მეშვეობით ანგარიშის წარდგენა არ წარმოადგენს არჩევნების ორგანიზებაზე პასუხისმგებელ დაწესებულებებში შეტანილ ოფიციალურ საჩივარს.","Należy pamiętać, że przesłanie zgłoszenia za pośrednictwem tej aplikacji nie stanowi oficjalnej skargi złożonej do instytucji odpowiedzialnych za organizację wyborów.",Te rugăm să reții că trimiterea unei sesizări prin această aplicație nu constituie o plângere oficială depusă la instituțiile responsabile cu organizarea alegerilor.,"Обратите внимание, что подача сообщения через это приложение не является официальной жалобой, поданной в органы, ответственные за организацию выборов.","Molim vas, obratite pažnju da podnošenje izveštaja kroz ovaj zahtev ne predstavlja zvaničnu žalbu koja je podneta institucijama odgovornim za organizaciju izbora."
citizen_report_issue.info_modal.ok,OK,OK,OK,Այո ,დიახ,OK,OK,Хорошо,OK
citizen_form.review.heading,Hesabatınızı nəzərdən keçirin,Преглед на вашия отчет,Review your report,Վերանայել լրացված զեկույցը,შევსებული ანგარიშის გადახედვა,Przejrzyj swój raport,Revizuiește sesizarea ta,Просмотрите свой отчет,Pregledaj izveštaj.
citizen_form.review.send,Hesabat göndərin,Изпратете доклад,Send report,Ուղարկել զեկույցը ,ანგარიშის გაგზავნა,Wyślij raport,Trimite sesizarea,Отправить отчет,Pošalji izveštaj.
citizen_form.review.sending_report,Hesabatınızı göndəririk. Zəhmət olmasa gözləyin...,"Изпращаме доклада ви. Моля, изчакайте...",We're sending your report. Please wait...,Ձեր զեկույցն ուղարկվում է ,თქვენი ანგარიში იგზავნება. გთხოვთ დაიცადოთ...,Wysyłamy raport. Proszę czekać...,Trimitem sesizarea ta. Te rugăm să aștepți...,"Мы отправляем ваш отчет. Пожалуйста, подождите...","Šaljemo tvoj izveštaj. Molim vas, sačekajte.- Šta?"
citizen_form.progress_bar_label,Formanın tərəqqisi,Прогрес на формуляра,Form progress,Ձևաթղթերի առաջընթաց ,ფორმების პროგრესი,Postęp formy,Progresul formularului,Прогресс формы,Napravite napredak.
citizen_form.success.title,Hesabatınız uğurla göndərildi!,Вашият доклад е успешно изпратен!,Your report has been successfuly sent!,Ձեր զեկույցը հաջողությամբ ուղարկվել է ,თქვენი ანგარიში წარმატებით გაიგზავნა!,Twój raport został pomyślnie wysłany!,Sesizarea ta a fost trimisă cu succes!,Ваш отчет успешно отправлен!,Vaš izveštaj je uspešno poslat!
