citizen_report_issue.info_modal.ok,OK,OK
citizen_form.review.heading,Przejrzyj swój raport,Przejrzyj swój raport
citizen_form.review.send,Wyślij raport,Wyślij raport
citizen_form.review.sending_report,Wysyłamy raport. Proszę czekać...,Wysyłamy raport. Proszę czekać...
citizen_form.progress_bar_label,Postęp formy,Postęp formularza
citizen_form.success.title,Twój raport został pomyślnie wysłany!,Twój raport został pomyślnie wysłany!
citizen_form.success.description,Dziękujemy za zaangażowanie obywatelskie. Możesz wysłać kopię swoich odpowiedzi na adres e-mail lub powrócić do strony głównej.,Dziękujemy za zaangażowanie obywatelskie. Możesz wysłać kopię swoich odpowiedzi na adres e-mail lub powrócić do strony głównej.
citizen_form.success.back_to_main,Powrót do strony głównej,Powrót do strony głównej
citizen_form.success.send_copy,Wyślij mi kopię,Wyślij mi kopię
citizen_form.error,Wystąpił problem podczas wysyłania recenzji.,Wystąpił problem podczas wysyłania recenzji.
citizen_form.email_copy.title,"Wprowadź swój adres e-mail, aby otrzymać kopię formularza","Wprowadź swój adres e-mail, aby otrzymać kopię formularza"
citizen_form.email_copy.description,"Aby otrzymać kopię formularza, wprowadź poniżej swój adres e-mail. Ten adres e-mail zostanie wykorzystany wyłącznie do wysłania kopii i nie będzie przechowywany ani wykorzystywany w żadnym innym celu.","Aby otrzymać kopię formularza, wprowadź poniżej swój adres e-mail. Ten adres e-mail zostanie wykorzystany wyłącznie do wysłania kopii i nie będzie przechowywany ani wykorzystywany w żadnym innym celu."
citizen_form.email_copy.placeholder,Wprowadź swój adres e-mail,Wprowadź swój adres e-mail
citizen_form.email_copy.required,E-mail jest obowiązkowy,E-mail jest obowiązkowy
citizen_form.email_copy.invalid,Format wiadomości e-mail jest nieprawidłowy,Format wiadomości e-mail jest nieprawidłowy
citizen_form.email_copy.cancel,Anuluj,Anuluj
citizen_form.email_copy.send,Wyślij,Wyślij
citizen_form.copy_sent.title,Twoja kopia została wysłana,Twoja kopia została wysłana
citizen_form.copy_sent.description,"Kopia powinna dotrzeć natychmiast, ale w rzadkich przypadkach jej przetworzenie może zająć kilka minut. W międzyczasie możesz powrócić do strony głównej.","Kopia powinna dotrzeć natychmiast, ale w rzadkich przypadkach jej przetworzenie może zająć kilka minut. W międzyczasie możesz powrócić do strony głównej."
citizen_form.unsaved_changes_dialog.title,Masz niezapisane zmiany,Masz niezapisane zmiany
citizen_form.unsaved_changes_dialog.description,Opuszczenie tej strony spowoduje utratę wszystkich postępów w formularzu. Czy na pewno chcesz wrócić?,Opuszczenie tej strony spowoduje utratę wszystkich postępów w formularzu. Czy na pewno chcesz wrócić?
citizen_form.unsaved_changes_dialog.actions.discard,Wróć,Wróć
citizen_form.unsaved_changes_dialog.actions.save,Zostań tutaj,Zostań tutaj
citizen_form.attachments.heading,Przesłane multimedia,Przesłane multimedia
citizen_form.attachments.loading,Dodawanie załącznika... ,Dodawanie załącznika... 
citizen_form.attachments.error,Błąd podczas wysyłania załącznika!,Błąd podczas wysyłania załącznika!
citizen_form.attachments.add,Dodawanie plików multimedialnych,Dodawanie plików multimedialnych
citizen_form.attachments.menu.load,Załaduj z galerii,Załaduj z galerii
citizen_form.attachments.menu.take_picture,Zrób zdjęcie,Zrób zdjęcie
citizen_form.attachments.menu.record_video,Nagraj wideo,Nagraj wideo
citizen_form.attachments.menu.upload_audio,Wgraj nagranie,Wgraj nagranie
citizen_form.attachments.upload.compressing,Kompresowanie załącznika: ,Kompresowanie załącznika: 
citizen_form.attachments.upload.preparing,Przygotowanie załącznika...,Przygotowanie załącznika...
citizen_form.attachments.upload.starting,Rozpoczynanie wysyłania...,Rozpoczynanie wysyłania...
citizen_form.attachments.upload.progress,Wysyłanie załączników: ,Wysyłanie załączników: 
citizen_form.attachments.upload.completed,Wysyłanie zakończone.,Wysyłanie zakończone.
citizen_form.attachments.upload.aborted,Wysyłanie przerwane.,Wysyłanie przerwane.
citizen_form.attachments.upload.offline,"Aby wykonać tę akcję, potrzebujesz połączenia z Internetem.","Aby wykonać tę akcję, potrzebujesz połączenia z Internetem."
citizen_form.attachments.delete.title,Usuń plik(i),Usuń plik(i)
citizen_form.attachments.delete.description,Ta akcja nie może być cofnięta. Usunięte media nie mogą zostać przywrócone.,Ta akcja nie może być cofnięta. Usunięte media nie mogą zostać przywrócone.
citizen_form.attachments.delete.actions.cancel,Anuluj,Anuluj
citizen_form.attachments.delete.actions.clear,Usuń,Usuń
login.disclaimer.paragraph1,"Pamiętaj, że jeśli nie jesteś akredytowany jako niezależny obserwator przez organizację monitorującą procesy wyborcze w Twoim kraju, nie możesz korzystać z aplikacji Vote Monitor.","Jeśli nie jesteś obserwatorem skierowanym przez organizację monitorującą procesy wyborcze w Twoim kraju, nie możesz korzystać z Vote Monitor dla Obserwatorów."
login.disclaimer.paragraph2.slice1,"Jeśli nie jesteś akredytowanym obserwatorem, nadal możesz","Jeśli nie jesteś obserwatorem, nadal możesz"
login.disclaimer.paragraph2.link,zgłaszać nieprawidłowości jako obywatel,zgłaszać nieprawidłowości jako wyborca
login.disclaimer.paragraph2.slice2,"w przypadku trwających wyborów, bez konieczności posiadania konta.","w przypadku bieżących wyborów, bez konieczności posiadania konta."
login.heading,Zaloguj,Zaloguj
login.paragraph,"Podaj proszę adres e-mail, który podałeś/aś przy rejestracji w roli obserwatora:","Podaj proszę adres e-mail, który podałeś/aś przy rejestracji w roli obserwatora:"
login.form.email.label,E-mail *,E-mail *
login.form.email.placeholder,E-mail,E-mail
login.form.email.required,Adres e-mail jest obowiązkowy,Adres e-mail jest obowiązkowy
login.form.email.pattern,Format adresu e-mail jest nieprawidłowy,Format adresu e-mail jest nieprawidłowy
login.form.password.label,Hasło *,Hasło *
login.form.password.placeholder,Hasło,Hasło
login.form.password.required,Hasło jest obowiązkowe,Hasło jest obowiązkowe
login.form.submit.save,Zaloguj,Zaloguj
login.form.submit.loading,Zaloguj...,Zaloguj...
login.form.errors.invalid_credentials,Wystąpił błąd z Twoimi danymi logowania. Spróbuj ponownie.,Wystąpił błąd z Twoimi danymi logowania. Spróbuj ponownie.
login.form.errors.offline,"Aby się zalogować, potrzebujesz połączenia z Internetem.","Aby się zalogować, potrzebujesz połączenia z Internetem."
login.actions.forgot_password,Zapomniałeś/aś hasła?,Zapomniałeś/aś hasła?
login.email_toast,Adres e-mail został skopiowany do schowka,Adres e-mail został skopiowany do schowka
forgot_password.header.title,Zapomniane hasło,Zapomniane hasło
forgot_password.heading,Zapomniałeś/aś hasła?,Zapomniałeś/aś hasła?
forgot_password.paragraph,"Podaj proszę adres e-mail, który podałeś/aś przy rejestracji w roli obserwatora, a wyslemy Ci link potrzebny do zresetowania hasła.","Podaj proszę adres e-mail, który podałeś/aś przy rejestracji w roli obserwatora, a wyslemy Ci link potrzebny do zresetowania hasła."
forgot_password.form.email.label,E-mail *,E-mail *
forgot_password.form.email.placeholder,E-mail,E-mail
forgot_password.form.email.required,Adres e-mail jest obowiązkowy,Adres e-mail jest obowiązkowy
forgot_password.form.email.pattern,Format adresu e-mail jest nieprawidłowy,Format adresu e-mail jest nieprawidłowy
forgot_password.form.submit.loading,Wysyłanie...,Wysyłanie...
forgot_password.form.submit.save,Wysłać,Wyślij
forgot_password.form.errors.invalid_email,Bieżący adres e-mail nie jest zarejestrowany w systemie. Proszę spróbuj ponownie.,Bieżący adres e-mail nie jest zarejestrowany w systemie. Proszę spróbuj ponownie.
forgot_password.confirmation.heading,E-mail wysłany,E-mail wysłany
forgot_password.confirmation.paragraph,"Sprawdź prosze e-mail i otwórz link, który wysłaliśmy. Jeśli nie widzisz e-maila, upewnij się, że nie wpadł do folderu 'spam'.","Sprawdź proszę e-mail i otwórz link, który wysłaliśmy. Jeśli nie widzisz e-maila, upewnij się, że nie wpadł do folderu 'spam'."
forgot_password.confirmation.confirm,Wróć do logowania,Wróć do logowania
about_app.title,O Vote Monitor,O Vote Monitor
about_app.title_observer,Informacje o Vote Monitor Observer,Informacje o Vote Monitor Observer
about_app.general,Vote Monitor to dedykowane narzędzie cyfrowe przeznaczone dla niezależnych obserwatorów i organizacji międzynarodowych zajmujących się monitorowaniem wyborów. Vote Monitor jest rozwijany i zarządzany przez Code for Rumunia/Commit Global.,Vote Monitor to dedykowane narzędzie cyfrowe przeznaczone dla niezależnych obserwatorów i organizacji międzynarodowych zajmujących się monitorowaniem wyborów. Vote Monitor jest rozwijany i zarządzany przez Code for Romania/Commit Global.
about_app.purpose,"Aplikacja pomaga niezależnym obserwatorom monitorować lokale wyborcze i dokumentować przebieg głosowania w czasie rzeczywistym w danej turze wyborów. Wszystkie dane zebrane za pośrednictwem aplikacji mobilnej są przesyłane w czasie rzeczywistym do organizacji akredytujących w celu zidentyfikowania potencjalnych sygnałów ostrzegawczych, które mogą wskazywać na nadużycia lub inne nieprawidłowości. Ostatecznie naszym celem jest zapewnienie jasnego, prostego i realistycznego obrazu przebiegu procesu wyborczego.","Aplikacja pomaga niezależnym obserwatorom monitorować lokale wyborcze i dokumentować przebieg głosowania w czasie rzeczywistym w danej turze wyborów. Wszystkie dane zebrane za pośrednictwem aplikacji mobilnej są przesyłane w czasie rzeczywistym do organizacji akredytujących w celu zidentyfikowania potencjalnych sygnałów ostrzegawczych, które mogą wskazywać na nadużycia lub inne nieprawidłowości. Ostatecznie naszym celem jest zapewnienie jasnego, prostego i realistycznego obrazu przebiegu procesu wyborczego."
about_app.app_provides.paragraph,Aplikacja zapewnia obserwatorom:,Aplikacja zapewnia obserwatorom:
about_app.app_provides.item1,Sposób na zarządzanie wieloma odwiedzanymi lokalami wyborczymi,Sposób na zarządzanie wieloma odwiedzanymi lokalami wyborczymi
about_app.app_provides.item2,Skuteczna metoda monitorowania przebiegu procesu głosowania poprzez formularze utworzone przez organizacje akredytujące,Skuteczna metoda monitorowania przebiegu procesu głosowania poprzez formularze utworzone przez organizacje akredytujące
about_app.app_provides.item3,Sposób na szybkie zgłaszanie innych problematycznych kwestii poza standardowymi formularzami,Sposób na szybkie zgłaszanie innych problematycznych kwestii poza standardowymi formularzami
about_app.usage,Z aplikacji Vote Monitor można korzystać podczas dowolnych wyborów w dowolnym kraju na świecie. Od 2016 r. jest używany w wielu turach wyborów w Rumunii i Polsce.,Z aplikacji Vote Monitor można korzystać podczas dowolnych wyborów w dowolnym kraju na świecie. Od 2016 r. wielokrotnie był wykorzystywany w Europie i na świecie m.in. w Rumunii i Polsce.
about_app.version,Wersja Vote Monitor {{value}},Wersja Vote Monitor {{value}}
about_app_citizen.title,Informacje o Vote Monitor ,Informacje o Vote Monitor 
about_app_citizen.title_observer,Informacje o Vote Monitor Citizen,Informacje o Vote Monitor dla Wyborców
about_app_citizen.p1,"Vote Monitor Citizen umożliwia zwykłym obywatelom aktywny udział w monitorowaniu wyborów poprzez zgłaszanie wszelkich nieprawidłowości, które napotkają w okresie wyborczym, w tym działań związanych z kampanią, działaniami w lokalach wyborczych i procedurami w dniu głosowania.","Vote Monitor dla Wyborców umożliwia zwykłym obywatelom aktywny udział w monitorowaniu wyborów poprzez zgłaszanie wszelkich nieprawidłowości, które napotkają w okresie wyborczym, w tym sytuacji związanych z kampanią, działaniami w lokalach wyborczych i procedurami w dniu głosowania."
about_app_citizen.p2,"Vote Monitor Citizen to rozszerzenie aplikacji Vote Monitor, która została początkowo opracowana przez Code for Romania/Commit Global dla niezależnych obserwatorów współpracujących z organizacjami pozarządowymi w zakresie monitorowania wyborów.","Vote Monitor dla Wyborców to rozszerzenie aplikacji Vote Monitor, która została początkowo opracowana przez Code for Romania/Commit Global dla apolitycznych obserwatorów współpracujących z organizacjami pozarządowymi w zakresie monitorowania wyborów."
about_app_citizen.p3,"Użytkownicy mogą przesyłać raporty w czasie rzeczywistym, które będą analizowane przez organizacje pozarządowe zaangażowane w proces wyborczy. Raporty te mogą przyczynić się do powstania szczegółowych dokumentów obserwacyjnych, a w niektórych przypadkach mogą zostać przekazane odpowiednim instytucjom w celu usprawnienia przyszłych wyborów.","Użytkownicy mogą przesyłać raportyna bieżąco, które będą analizowane przez organizacje pozarządowe zaangażowane w proces wyborczy. Raporty te mogą przyczynić się do powstania raportów z obserwacji, a w szczególnych przypadkach mogą zostać przekazane odpowiednim instytucjom w celu usprawnienia przyszłych wyborów."
about_app_citizen.p4,"Chociaż raporty obywatelskie odgrywają istotną rolę w promowaniu przejrzystości, należy pamiętać, że przesłanie raportu za pośrednictwem tej aplikacji nie stanowi oficjalnej skargi do instytucji odpowiedzialnych za organizację wyborów.","Chociaż zgłoszenia obywatelskie odgrywają istotną rolę w promowaniu przejrzystości, należy pamiętać, że przesłanie raportu za pośrednictwem tej aplikacji nie stanowi ani nie zastępuje oficjalnej skargi do instytucji odpowiedzialnych za organizację wyborów czy organów ścigania."
about_app_citizen.version,Wersja monitora głosowania {{value}},Wersja Vote Monitor: {{value}}
loading_screen.heading,Ładowanie ...,Ładowanie ...
loading_screen.paragraph,"Przygotowujemy wszystkie dane, proszę czekać!","Przygotowujemy wszystkie dane, proszę czekać!"
tabs.observation,Obserwacja,Obserwacja
tabs.quick_report,Szybki raport,Szybki raport
tabs.guides,Podręczniki,Podręczniki
tabs.inbox,Poczta,Poczta
tabs.more,Więcej,Więcej
tabs.report,Szybki raport,Szybki raport
tabs.resources,Zasoby,Zasoby
tabs.updates,Aktualizacje,Aktualizacje
add_polling_station.title,Dodaj komisję wyborczą,Dodaj komisję wyborczą
add_polling_station.progress.location,Dodaj komisję wyborczą z {{value}},Dodaj komisję wyborczą z: {{value}}
add_polling_station.actions.next_step,Dalej,Dalej
add_polling_station.actions.back,Wróć,Wróć
add_polling_station.actions.finalize,Sfinalizuj,Ukończ
add_polling_station.error,Błąd podczas ładowania lokali wyborczych!,Błąd podczas ładowania lokali wyborczych!
observation.title,Obserwacja punktów wyborczych,Obserwacja punktów wyborczych
observation.no_election_round.heading,Brak zdarzeń dotyczących wyborów,Brak zdarzeń dotyczących wyborów
observation.no_election_round.paragraph,"Możesz używać tej aplikacji, gdy zostaniesz przypisany/a przez swoją organizację do wydarzenia wyborczego.",Będziesz mógł korzystać z aplikacji po przypisaniu Cię do akcji wyborczej przez Twoją organizację
observation.no_form,Formularz Informacje o lokalu wyborczym nie jest skonfigurowany,Formularz Informacje o lokalu wyborczym nie jest skonfigurowany
observation.refresh_page,"Jeśli dane nie są widoczne, spróbuj odświeżyć stronę, aby pobrać najnowsze informacje","Jeśli dane nie są widoczne, spróbuj odświeżyć stronę, aby pobrać najnowsze informacje"
observation.no_visited_polling_stations.heading,Brak odwiedzonych komisji wyborczych,Brak odwiedzonych komisji wyborczych
observation.no_visited_polling_stations.paragraph,Uzupełnij dane dla pierwszej komisji wyborczej zanim zaczniesz wypełniać formularze obserwacyjne.,Uzupełnij dane dla pierwszej obserwowanej komisji wyborczej zanim zaczniesz wypełniać formularze obserwacyjne.
observation.no_visited_polling_stations.add,Dodaj pierwszą komisję wyborczą,Dodaj pierwszą komisję wyborczą
observation.my_polling_stations.heading,Moje komisje wyborcze,Moje komisje wyborcze
observation.my_polling_stations.paragraph,Możesz zmienć komisję wyborczą jeśli chcesz dokonac rewizji formularza lub zmienić informacje dotyczące komisji wyborczej.,"Możesz przełączać się między lokalami wyborczymi, jeśli chcesz ponownie przeglądać odpowiedzi lub informacje o komisjach wyborczych."
observation.my_polling_stations.add,Dodaj komisję wyborczą,Dodaj komisję wyborczą
observation.polling_stations_information.heading,Informacje o stacjach wyborczych,Informacje o komisjach wyborczych
observation.polling_stations_information.time_select.not_defined,Nie zdefiniowano,Nie zdefiniowano
observation.polling_stations_information.time_select.arrival_time,Czas przybycia,Czas przybycia
observation.polling_stations_information.time_select.departure_time,Czas wyjścia,Czas wyjścia
observation.polling_stations_information.time_select.save,Zrobione,Zrobione
observation.polling_stations_information.time_select.error.arrival_first,Najpierw wybierz godzinę przyjazdu.,Najpierw wybierz godzinę przyjazdu.
observation.polling_stations_information.time_select.error.later_departure,Proszę wybrać godzinę odjazdu późniejszą niż godzina przylotu.,Proszę wybrać godzinę odjazdu późniejszą niż godzina przylotu.
observation.polling_stations_information.time_select.error.earlier_arrival,Proszę wybrać godzinę przyjazdu wcześniejszą niż godzina odlotu.,Proszę wybrać godzinę przyjazdu wcześniejszą niż godzina odlotu.
observation.polling_stations_information.time_select.error.server,Nie mogliśmy wysłać informacji na serwer.,Nie mogliśmy wysłać informacji na serwer.
observation.polling_stations_information.observation_time.observation_time,Czas obserwacji,Czas obserwacji
observation.polling_stations_information.observation_time.not_defined,Nie określono,Nie wskazano
observation.polling_stations_information.observation_time.no_of_breaks,{{value}} przerwy,{{value}} przerw/y
observation.polling_stations_information.observation_time.one_break,{{value}} przerwa,{{value}} przerwa
"shit, you in the Polish numbers trap... in Polish: 1 przerwa; 2-4 przerwy; 5-21 przerw; 22-24 przerwy; 25-31 przerw;...  🫠",Czas przyjazdu i odjazdu,Czas przybycia i wyjścia
observation.polling_stations_information.observation_time.arrival_time,Czas przybycia,Czas przybycia
observation.polling_stations_information.observation_time.departure_time,Czas odlotu,Czas wyjścia
observation.polling_stations_information.observation_time.departure_after_arrival,Godzina odlotu musi przypadać po godzinie przylotu,Godzina wyjścia musi być po godzinie przybycia
observation.polling_stations_information.observation_time.select_arrival_time,Wybierz czas przybycia,Wybierz czas przybycia
observation.polling_stations_information.observation_time.select_departure_time,Wybierz godzinę odlotu,Wybierz godzinę odlotu
observation.polling_stations_information.observation_time.add_break,Dodaj nową przerwę w obserwacji,Dodaj nową przerwę w obserwacji
observation.polling_stations_information.observation_time.break,Przerwa {{value}},Przerwa {{value}}.
observation.polling_stations_information.observation_time.start_time,Czas rozpoczęcia,Czas rozpoczęcia
observation.polling_stations_information.observation_time.select_start_time,Wybierz czas rozpoczęcia,Wybierz czas rozpoczęcia
observation.polling_stations_information.observation_time.end_time,Czas zakończenia,Czas zakończenia
observation.polling_stations_information.observation_time.select_end_time,Wybierz czas zakończenia,Wybierz czas zakończenia
observation.polling_stations_information.observation_time.undefined_date,DD/MM/RRRR,DD/MM/RRRR
observation.polling_stations_information.observation_time.undefined_time,GG:MM,gg:mm
observation.polling_stations_information.observation_time.save,Oszczędność czasu obserwacji,Zapisz czas obserwacji
observation.polling_stations_information.observation_time.clear,Wyraźny czas obserwacji,Wyczyść czas obserwacji
observation.polling_stations_information.observation_time.confirmation_modals.clear.title,Wyraźny czas obserwacji,Wyczyść czas obserwacji
observation.polling_stations_information.observation_time.confirmation_modals.clear.description,"Ta czynność spowoduje usunięcie czasu przyjazdu i wyjazdu, w tym wszystkich przerw wprowadzonych do tej pory dla tego punktu wyborczego. Aby uniknąć niezamierzonej utraty informacji, przed wykonaniem tej czynności należy sprawdzić godziny.","Ta czynność spowoduje usunięcie czasu przybycia i wyjścia, w tym wszystkich przerw wprowadzonych do tej pory dla tego punktu wyborczego. Aby uniknąć niezamierzonej utraty informacji, przed wykonaniem tej czynności należy sprawdzić godziny."
observation.polling_stations_information.observation_time.confirmation_modals.clear.actions.cancel,Anuluj,Anuluj
observation.polling_stations_information.observation_time.confirmation_modals.clear.actions.clear,Wyraźny czas obserwacji,Wyczyść czas obserwacji
observation.polling_stations_information.observation_time.confirmation_modals.delete.title,Usuń przerwę,Usuń przerwę
observation.polling_stations_information.observation_time.confirmation_modals.delete.description,"Ta czynność spowoduje usunięcie przerwy. Aby uniknąć niezamierzonej utraty informacji, przed wykonaniem tej czynności należy sprawdzić czas.","Ta czynność spowoduje usunięcie przerwy. Aby uniknąć niezamierzonej utraty informacji, przed wykonaniem tej czynności należy sprawdzić czas."
observation.polling_stations_information.observation_time.confirmation_modals.delete.actions.cancel,Anuluj,Anuluj
observation.polling_stations_information.observation_time.confirmation_modals.delete.actions.delete,Usuń przerwę,Usuń przerwę
observation.polling_stations_information.observation_time.confirmation_modals.unsaved_changes.title,Zapisywanie zmian czasu obserwacji,Zapisywanie zmian czasu obserwacji
observation.polling_stations_information.observation_time.confirmation_modals.unsaved_changes.description,Masz niezapisane zmiany związane z wprowadzonym czasem obserwacji. Czy chcesz zapisać zmiany przed opuszczeniem strony?,Masz niezapisane zmiany związane z wprowadzonym czasem obserwacji. Czy chcesz zapisać zmiany przed opuszczeniem strony?
observation.polling_stations_information.observation_time.confirmation_modals.unsaved_changes.actions.discard,Odrzucenie,Odrzuć
observation.polling_stations_information.observation_time.confirmation_modals.unsaved_changes.actions.save,Zapisz zmiany,Zapisz zmiany
observation.polling_stations_information.observation_time.confirmation_modals.unable_to_save.title,Nie można zapisać czasu obserwacji,Nie można zapisać czasu obserwacji
